,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,0.0,21471.0,29640.0,8782.0,14778.0,20691.0,8929.0,17096.0,22902.0,23355.0,14058.0,12661.0,17208.0,11101.0,17065.0,23915.0,18431.0,9028.0,29954.0,17043.0,22496.0,10558.0,19565.0,8655.0,14282.0,24875.0,18876.0,20888.0,10903.0,21417.0,13669.0,9999.0,10348.0,24566.0,10563.0,10310.0,11387.0,15851.0,18895.0,33691.0,8248.0,21721.0,5125.0,29182.0,26427.0,24854.0,6359.0,31101.0,32134.0,5138.0,28923.0,18067.0,8291.0,32382.0,31251.0,24217.0,11348.0,13433.0,8972.0,17465.0,12903.0,6336.0,7390.0,23808.0,28996.0,14498.0,4496.0,12610.0,13068.0,7075.0,5229.0,25820.0,8039.0,14437.0,10223.0,3725.0,21643.0,16047.0,16376.0,17844.0,20180.0,26617.0,28714.0,19919.0,27071.0,18255.0,25517.0,18115.0,22717.0,31329.0,11296.0,30038.0,30441.0,30130.0,12245.0,8651.0,14278.0,12589.0,14210.0,23167.0,6064.0,29195.0,9177.0,35833.0,21094.0,28286.0,18970.0,25677.0,10668.0,31462.0,15956.0,32516.0,16525.0,6318.0,14907.0,19311.0,8370.0,11923.0,17409.0,17747.0,27139.0,27502.0,25356.0,4726.0,24733.0,30388.0,19810.0,16850.0,23912.0,20100.0,22360.0,21590.0,27038.0,3731.0,32439.0,12202.0,7683.0,24704.0,18430.0,20202.0,10752.0,11578.0,4162.0,5878.0,25595.0,12411.0,10564.0,22349.0,14475.0,19280.0,21949.0,12623.0,5646.0,13439.0,16211.0,9248.0,32061.0,20910.0,28704.0,18235.0,25654.0,19692.0,10712.0,20519.0,18523.0,30348.0,26200.0,4590.0,29169.0,5038.0,28716.0,14367.0,13375.0,29506.0,14606.0,25395.0,12084.0,4891.0,9121.0,3353.0,30083.0,13463.0,24978.0,4112.0,13888.0,34916.0,28179.0,26981.0,13279.0,20914.0,9309.0,9533.0,6764.0,10203.0,9373.0,11086.0,34119.0,6136.0,23497.0,13424.0,27432.0
1,21471.0,0.0,13753.0,14313.0,20863.0,2951.0,17641.0,11371.0,40632.0,14749.0,13599.0,27770.0,26340.0,17215.0,33909.0,39253.0,27046.0,26180.0,19041.0,8585.0,10900.0,10997.0,19343.0,17921.0,29281.0,38573.0,29881.0,23773.0,11286.0,36264.0,23213.0,12024.0,11128.0,4531.0,17886.0,17474.0,15285.0,22894.0,36734.0,14370.0,16881.0,5652.0,19255.0,10718.0,23987.0,4777.0,25966.0,9897.0,50055.0,18310.0,16687.0,13421.0,21361.0,50120.0,10243.0,42982.0,10150.0,8738.0,15671.0,24812.0,10556.0,15356.0,26553.0,18051.0,21138.0,10706.0,18374.0,9520.0,18879.0,18693.0,16619.0,9822.0,14050.0,7038.0,25328.0,18199.0,20315.0,12590.0,22658.0,23764.0,39133.0,18750.0,15822.0,17721.0,8225.0,23363.0,39768.0,12836.0,6129.0,12135.0,12909.0,10191.0,9590.0,20128.0,10982.0,21395.0,30985.0,9600.0,23776.0,7848.0,21576.0,17745.0,12787.0,53823.0,23389.0,15775.0,31260.0,17522.0,11163.0,48324.0,31506.0,12025.0,29636.0,27706.0,8312.0,15046.0,15480.0,10568.0,4064.0,15656.0,9917.0,10494.0,5402.0,16746.0,8303.0,16212.0,15981.0,4870.0,15736.0,39453.0,21270.0,1938.0,17281.0,25177.0,50390.0,18146.0,24364.0,8913.0,34254.0,3172.0,10725.0,32389.0,17696.0,17844.0,4448.0,32734.0,16154.0,4140.0,7170.0,28875.0,6632.0,27504.0,18949.0,25695.0,26681.0,12905.0,48944.0,16448.0,17544.0,34022.0,5174.0,18416.0,12782.0,15709.0,27016.0,10094.0,26524.0,16886.0,13195.0,22321.0,7596.0,23238.0,12236.0,12174.0,10311.0,16228.0,9390.0,21277.0,22041.0,23098.0,15770.0,8545.0,33030.0,23689.0,30258.0,16626.0,7446.0,19626.0,9060.0,32844.0,23102.0,16101.0,14837.0,11408.0,14985.0,15308.0,16717.0,26151.0,19095.0,8067.0,13852.0
2,29640.0,13753.0,0.0,20871.0,33740.0,16700.0,22146.0,24915.0,42493.0,28380.0,26575.0,30284.0,25705.0,20449.0,36087.0,39457.0,25810.0,36759.0,31851.0,22056.0,24480.0,20062.0,32967.0,22502.0,31282.0,37728.0,29196.0,37317.0,19022.0,36607.0,35639.0,22823.0,20631.0,16402.0,21268.0,21146.0,27570.0,35798.0,39196.0,22753.0,28172.0,9138.0,25478.0,21293.0,37723.0,16451.0,35489.0,15987.0,51181.0,28452.0,29375.0,27064.0,25492.0,51073.0,16894.0,45505.0,19655.0,20550.0,27121.0,37815.0,16792.0,24964.0,36331.0,31758.0,34457.0,15149.0,25364.0,21079.0,20419.0,23979.0,24448.0,4233.0,24430.0,17582.0,36515.0,27472.0,34038.0,25972.0,21957.0,22240.0,42234.0,32220.0,28411.0,31416.0,5997.0,21510.0,39121.0,26490.0,8201.0,21420.0,18394.0,19340.0,17050.0,33074.0,17450.0,25326.0,33665.0,17571.0,36255.0,6953.0,26879.0,30544.0,20704.0,54745.0,36973.0,28499.0,31003.0,31031.0,21924.0,48667.0,33296.0,19228.0,30350.0,35786.0,15094.0,28755.0,21465.0,22187.0,15705.0,29226.0,21734.0,22272.0,16841.0,25479.0,21044.0,28222.0,29701.0,17237.0,29352.0,42898.0,35001.0,15547.0,30544.0,33208.0,51518.0,20394.0,34919.0,5385.0,35648.0,11977.0,20294.0,38200.0,25484.0,24205.0,14556.0,37942.0,28214.0,9836.0,18662.0,27613.0,8439.0,29963.0,29375.0,27233.0,26746.0,20538.0,49250.0,30197.0,30449.0,35435.0,16062.0,32079.0,24478.0,29456.0,25715.0,18618.0,40272.0,25477.0,24886.0,32346.0,10208.0,35813.0,24953.0,23239.0,23243.0,29683.0,19529.0,31383.0,25692.0,32299.0,27795.0,20229.0,29604.0,33035.0,32884.0,25643.0,16420.0,33114.0,16893.0,31957.0,34406.0,20862.0,23213.0,20220.0,26507.0,19349.0,26571.0,35468.0,32835.0,18745.0,26509.0
3,8782.0,14313.0,20871.0,0.0,17872.0,14489.0,3885.0,14761.0,26525.0,21353.0,13235.0,13840.0,14472.0,4855.0,19855.0,25724.0,15521.0,16711.0,27755.0,13246.0,19107.0,4191.0,20579.0,4043.0,15465.0,25582.0,17500.0,23513.0,3071.0,22799.0,18302.0,6830.0,4666.0,18228.0,5026.0,4518.0,11903.0,19637.0,22558.0,28054.0,10299.0,13305.0,5053.0,23798.0,27398.0,18518.0,14849.0,24209.0,35998.0,8895.0,26100.0,16627.0,7254.0,36105.0,24539.0,28733.0,5052.0,8687.0,9893.0,21643.0,4297.0,5735.0,15778.0,23075.0,27967.0,5722.0,4553.0,8161.0,7400.0,4418.0,3701.0,17120.0,6601.0,7749.0,17084.0,7248.0,22508.0,14460.0,11797.0,13309.0,24846.0,25353.0,25606.0,20093.0,18647.0,13351.0,26615.0,16382.0,14259.0,25692.0,2530.0,24032.0,23844.0,28317.0,3671.0,7363.0,16877.0,4713.0,18949.0,14526.0,7265.0,26715.0,2149.0,39777.0,23485.0,25295.0,18452.0,24186.0,6665.0,34513.0,17661.0,26187.0,16411.0,14933.0,6541.0,18398.0,1253.0,8313.0,10452.0,17460.0,22146.0,22625.0,19105.0,5156.0,19810.0,26885.0,19214.0,10561.0,22175.0,25144.0,23434.0,15013.0,25043.0,12344.0,36329.0,6314.0,14977.0,16026.0,20441.0,12313.0,4880.0,18343.0,4656.0,3637.0,18732.0,18533.0,11797.0,14206.0,8570.0,17051.0,13404.0,13610.0,9966.0,12412.0,14226.0,1791.0,35134.0,20257.0,26300.0,20211.0,19176.0,20244.0,9046.0,19632.0,15550.0,24128.0,28302.0,5045.0,24839.0,12171.0,20886.0,18790.0,11667.0,24630.0,11664.0,23452.0,6079.0,11364.0,8067.0,11639.0,26502.0,8482.0,22314.0,12407.0,16186.0,29828.0,21632.0,25967.0,5282.0,20281.0,15336.0,2726.0,3202.0,3732.0,9664.0,3436.0,29424.0,14751.0,23298.0,7266.0,23929.0
4,14778.0,20863.0,33740.0,17872.0,0.0,18367.0,20796.0,9987.0,37137.0,12711.0,7270.0,27393.0,31073.0,22512.0,31717.0,38625.0,32260.0,10429.0,18294.0,12408.0,14360.0,15371.0,5852.0,20717.0,29039.0,39653.0,33278.0,6116.0,17141.0,36184.0,3154.0,11898.0,14628.0,21193.0,22414.0,21956.0,6424.0,2058.0,33252.0,27014.0,7664.0,24603.0,18232.0,22776.0,11999.0,21395.0,13049.0,27541.0,45988.0,10148.0,18278.0,8791.0,22113.0,46311.0,27241.0,37931.0,15265.0,13254.0,7988.0,4099.0,19401.0,12249.0,12706.0,11275.0,16053.0,21412.0,16809.0,12840.0,25038.0,19725.0,15373.0,29511.0,11322.0,16353.0,8266.0,12229.0,7695.0,8516.0,29234.0,30778.0,33995.0,14250.0,18525.0,7190.0,28917.0,30955.0,40284.0,9299.0,25545.0,25018.0,19654.0,24702.0,26308.0,17960.0,18951.0,22434.0,29015.0,17690.0,3433.0,26854.0,20268.0,18019.0,16241.0,49554.0,6320.0,17999.0,33579.0,13760.0,12616.0,45731.0,30733.0,27440.0,31162.0,17241.0,19818.0,8477.0,18572.0,11800.0,18053.0,6738.0,20441.0,20509.0,21584.0,13617.0,18543.0,20521.0,8254.0,16561.0,12722.0,33670.0,8141.0,19677.0,15549.0,16172.0,46271.0,23960.0,9621.0,28375.0,33170.0,21813.0,14787.0,24525.0,15341.0,17896.0,23100.0,25848.0,6169.0,24088.0,15128.0,33412.0,25348.0,27334.0,9295.0,27756.0,30336.0,16632.0,46310.0,9028.0,17500.0,32982.0,22287.0,6521.0,9719.0,9126.0,32326.0,25402.0,11424.0,13873.0,20859.0,10472.0,28104.0,2750.0,8794.0,22092.0,10600.0,14156.0,14918.0,10096.0,23069.0,12770.0,20385.0,13593.0,39056.0,12586.0,28654.0,27038.0,24371.0,14262.0,18172.0,35532.0,6895.0,20338.0,14772.0,15517.0,8302.0,21308.0,25652.0,13638.0,10377.0,15288.0,18106.0
5,20691.0,2951.0,16700.0,14489.0,18367.0,0.0,18126.0,8622.0,41013.0,11825.0,11173.0,28273.0,27557.0,18050.0,34336.0,40011.0,28357.0,24480.0,16397.0,5962.0,8011.0,10664.0,16492.0,18367.0,29856.0,39557.0,31006.0,20954.0,11424.0,37042.0,20881.0,10811.0,10594.0,3880.0,18637.0,18182.0,13171.0,20367.0,37043.0,13566.0,15158.0,8432.0,19166.0,9390.0,21035.0,4170.0,24619.0,10477.0,50485.0,16985.0,14119.0,10580.0,21724.0,50587.0,10569.0,43183.0,9752.0,7343.0,13929.0,22229.0,11314.0,14390.0,25111.0,15103.0,18302.0,11961.0,18109.0,8175.0,19985.0,18901.0,16200.0,12767.0,12862.0,6751.0,23432.0,17195.0,17402.0,9937.0,24024.0,25240.0,39256.0,15872.0,13310.0,14831.0,11091.0,24914.0,40694.0,9990.0,9009.0,11207.0,13559.0,9571.0,9751.0,17425.0,11597.0,21807.0,31363.0,9926.0,21415.0,10707.0,21625.0,15120.0,12671.0,54263.0,20552.0,13208.0,32265.0,14634.0,10051.0,48939.0,32072.0,11883.0,30481.0,26762.0,9347.0,12150.0,15723.0,9074.0,4224.0,12852.0,8048.0,8594.0,4703.0,16011.0,6024.0,13926.0,13074.0,3973.0,12816.0,39491.0,18350.0,1313.0,14484.0,24314.0,50817.0,19144.0,22707.0,11839.0,34846.0,5623.0,10216.0,31968.0,17221.0,17801.0,5121.0,32461.0,14118.0,7052.0,6267.0,30138.0,9407.0,28028.0,17491.0,26483.0,27747.0,12875.0,49561.0,13513.0,14881.0,34615.0,4965.0,15544.0,11074.0,12778.0,28340.0,9749.0,23589.0,16192.0,11159.0,20898.0,9742.0,20845.0,10004.0,10485.0,8032.0,13363.0,8819.0,19858.0,22491.0,21930.0,13492.0,7259.0,34599.0,22457.0,30666.0,15442.0,7488.0,16740.0,9545.0,33940.0,21203.0,16635.0,14363.0,11123.0,13242.0,16098.0,15233.0,24865.0,16143.0,7461.0,11355.0
6,8929.0,17641.0,22146.0,3885.0,20796.0,18126.0,0.0,18588.0,22993.0,25201.0,16855.0,10160.0,10716.0,2173.0,16275.0,21925.0,11814.0,17800.0,31629.0,17130.0,22992.0,8074.0,24035.0,356.0,11730.0,21708.0,13638.0,26663.0,6776.0,18979.0,20774.0,10533.0,8543.0,21767.0,1707.0,1383.0,15225.0,22407.0,19099.0,31671.0,13134.0,15707.0,3846.0,27494.0,30933.0,22053.0,15284.0,27479.0,32430.0,11022.0,29985.0,20391.0,3759.0,32509.0,27876.0,25377.0,8923.0,12572.0,12990.0,24332.0,7110.0,8595.0,16319.0,26821.0,31768.0,7644.0,4606.0,12038.0,4366.0,1962.0,5454.0,18814.0,9913.0,11460.0,18633.0,9015.0,26016.0,18210.0,8439.0,9983.0,21592.0,29165.0,29491.0,23688.0,20885.0,10171.0,22757.0,20174.0,16566.0,29325.0,4752.0,27592.0,27230.0,32175.0,6659.0,3760.0,13344.0,8202.0,21401.0,16469.0,4733.0,30595.0,6024.0,36202.0,26691.0,29180.0,14567.0,28011.0,10473.0,30814.0,13948.0,29638.0,12539.0,14235.0,9429.0,22123.0,2676.0,12139.0,13980.0,21087.0,25916.0,26406.0,22655.0,7237.0,23605.0,30759.0,22908.0,14268.0,26009.0,21996.0,26914.0,18539.0,28903.0,11831.0,32764.0,3369.0,16255.0,17825.0,16721.0,15289.0,8765.0,16101.0,5762.0,3206.0,22089.0,15992.0,14952.0,16898.0,12391.0,13263.0,15595.0,9908.0,12068.0,8533.0,10378.0,5676.0,31435.0,23970.0,30178.0,16489.0,22659.0,23778.0,12638.0,23367.0,11855.0,27630.0,31624.0,7005.0,28668.0,13417.0,23684.0,21343.0,15372.0,28400.0,15500.0,27304.0,9947.0,12837.0,4401.0,12233.0,30374.0,12366.0,18650.0,13009.0,12618.0,33540.0,25060.0,29759.0,8636.0,16399.0,17204.0,1548.0,6199.0,7617.0,12895.0,2820.0,33195.0,15031.0,26980.0,11090.0,27808.0
7,17096.0,11371.0,24915.0,14761.0,9987.0,8622.0,18588.0,0.0,39635.0,6637.0,3513.0,27807.0,29230.0,19496.0,33329.0,39779.0,30264.0,17869.0,13193.0,2865.0,5510.0,10737.0,8061.0,18685.0,29508.0,40017.0,32222.0,12420.0,12463.0,36971.0,12783.0,8155.0,10137.0,11208.0,19771.0,19262.0,6337.0,11908.0,35584.0,17832.0,9352.0,15995.0,17833.0,13367.0,13683.0,11409.0,19000.0,17600.0,49023.0,12193.0,11887.0,2270.0,21388.0,49230.0,17345.0,41217.0,10067.0,6458.0,8308.0,13686.0,13933.0,11296.0,19192.0,8498.0,13217.0,15583.0,16414.0,6725.0,21950.0,18463.0,14385.0,20784.0,9483.0,9181.0,16336.0,13395.0,9323.0,1529.0,26366.0,27820.0,37180.0,10596.0,11625.0,6638.0,19592.0,27736.0,40944.0,1797.0,16813.0,15640.0,15319.0,15010.0,16416.0,13628.0,13785.0,21602.0,30354.0,11994.0,13246.0,18349.0,20387.0,12281.0,12620.0,52763.0,12060.0,11210.0,33066.0,9425.0,8115.0,48054.0,31580.0,17745.0,30894.0,22176.0,13215.0,4154.0,15917.0,6451.0,9539.0,4311.0,11065.0,11268.0,11602.0,13276.0,8892.0,13298.0,5117.0,7975.0,7421.0,37162.0,10315.0,9929.0,10373.0,20132.0,49337.0,20902.0,16315.0,19727.0,34308.0,13026.0,10002.0,28612.0,15048.0,16804.0,13140.0,29507.0,7395.0,15079.0,7720.0,31812.0,16877.0,27638.0,12198.0,26971.0,28966.0,13002.0,48667.0,5945.0,11820.0,34088.0,12300.0,7216.0,6514.0,5219.0,30288.0,15635.0,15640.0,13545.0,12382.0,15331.0,18258.0,12619.0,3723.0,13117.0,3101.0,8748.0,9175.0,14399.0,22326.0,17039.0,13003.0,6777.0,37017.0,17327.0,29784.0,18448.0,14417.0,11234.0,12137.0,34940.0,14209.0,17470.0,12800.0,11140.0,7788.0,17724.0,17394.0,19407.0,9012.0,8627.0,10362.0
8,22902.0,40632.0,42493.0,26525.0,37137.0,41013.0,22993.0,39635.0,0.0,46105.0,36850.0,12891.0,16974.0,23603.0,6730.0,5373.0,17174.0,28034.0,52725.0,39000.0,44787.0,30493.0,42348.0,22719.0,11501.0,8569.0,13872.0,43069.0,29590.0,6759.0,35255.0,31738.0,30735.0,44727.0,22860.0,23229.0,34267.0,37753.0,4052.0,54578.0,31149.0,38165.0,22096.0,50299.0,49077.0,45015.0,24622.0,50443.0,9483.0,28039.0,51519.0,40846.0,19305.0,9629.0,50860.0,3428.0,31407.0,34695.0,31817.0,38924.0,30084.0,28345.0,25343.0,46709.0,51897.0,30287.0,23389.0,33987.0,22583.0,22117.0,25440.0,40193.0,30166.0,34270.0,30228.0,26407.0,44413.0,38750.0,20562.0,20498.0,3872.0,49501.0,51208.0,42805.0,42939.0,21286.0,7695.0,40837.0,38889.0,52216.0,27727.0,50544.0,50222.0,52970.0,29652.0,19247.0,9657.0,31146.0,35636.0,38373.0,19535.0,51893.0,28413.0,13261.0,43378.0,50818.0,11986.0,48534.0,32090.0,8597.0,9325.0,52629.0,12158.0,20275.0,32375.0,42180.0,25292.0,33677.0,36934.0,40645.0,48564.0,49017.0,45610.0,26367.0,46187.0,52737.0,42704.0,37079.0,46719.0,4872.0,45068.0,41501.0,49827.0,20966.0,9812.0,22987.0,27983.0,39435.0,6845.0,38181.0,31060.0,13101.0,24647.0,23360.0,45080.0,11533.0,33465.0,39575.0,34990.0,15661.0,37843.0,13173.0,28491.0,15449.0,15788.0,28172.0,9183.0,43807.0,51418.0,7058.0,45641.0,42544.0,33121.0,43400.0,17298.0,50609.0,48407.0,26103.0,51068.0,26664.0,46330.0,36014.0,35948.0,51037.0,36833.0,48179.0,32412.0,27105.0,18592.0,24370.0,52394.0,34582.0,17369.0,24569.0,10375.0,56308.0,48052.0,49880.0,31617.0,11865.0,30577.0,24531.0,27205.0,30020.0,32151.0,25415.0,55812.0,23994.0,46387.0,33701.0,49749.0
9,23355.0,14749.0,28380.0,21353.0,12711.0,11825.0,25201.0,6637.0,46105.0,0.0,9298.0,34424.0,35803.0,26030.0,39879.0,46383.0,36817.0,22521.0,6620.0,8398.0,3908.0,17262.0,7651.0,25305.0,36127.0,46652.0,38838.0,11746.0,18917.0,43590.0,15865.0,14791.0,16700.0,12403.0,26341.0,25832.0,12052.0,14015.0,42060.0,14869.0,15240.0,20219.0,24442.0,11167.0,9521.0,12461.0,24327.0,17182.0,55443.0,18286.0,5762.0,5290.0,28023.0,55669.0,16611.0,47567.0,16532.0,12830.0,14390.0,15112.0,20145.0,17836.0,24315.0,3528.0,6836.0,21605.0,23009.0,13228.0,28442.0,25100.0,20993.0,24564.0,16045.0,15115.0,20607.0,19727.0,7275.0,7356.0,32840.0,34266.0,43530.0,4227.0,5854.0,5790.0,22544.0,34139.0,47573.0,5269.0,20832.0,13206.0,21741.0,13525.0,15724.0,6991.0,20084.0,28238.0,36917.0,18241.0,16104.0,22523.0,26985.0,5854.0,19205.0,59164.0,11170.0,5340.0,39699.0,2973.0,14736.0,54571.0,38184.0,16101.0,37531.0,27931.0,19065.0,4413.0,22526.0,13065.0,14539.0,6243.0,9020.0,8860.0,12309.0,19812.0,8074.0,7826.0,4458.0,13155.0,994.0,43452.0,7956.0,12869.0,3746.0,26111.0,55753.0,27412.0,21247.0,23659.0,40901.0,17310.0,16534.0,34701.0,21616.0,23435.0,14493.0,35705.0,13001.0,18876.0,13715.0,38394.0,21184.0,34259.0,18085.0,33606.0,35574.0,19579.0,55182.0,3792.0,5355.0,40682.0,13157.0,6632.0,13056.0,3585.0,36836.0,14389.0,12561.0,20086.0,8420.0,20878.0,19885.0,15409.0,10193.0,9971.0,9702.0,2111.0,15581.0,20061.0,28962.0,22839.0,7676.0,13108.0,43531.0,23001.0,36361.0,14476.0,14367.0,5024.0,18273.0,41570.0,18758.0,24045.0,19432.0,17684.0,13990.0,24213.0,12997.0,24813.0,4850.0,14821.0,5472.0
