OBJECTID,AddressPtID,StreetName,AddressNumber,Fractional,Unit,Building,SubAddressFlag,RouteExternalKey,ZipCode,City,State,X,Y,Address,FullNumber,UnitID,created_user,created_date,last_edited_user,last_edited_date,County,StateAbbr,ADD_TYPE
102645,80004352.0,TUSTIN VILLAGE WAY,15500,,49,,APT,,92780,TUSTIN,California,-117.83470778,33.73915955,15500 TUSTIN VILLAGE WAY  APT  49,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
710849,38018142.0,CLIFF DR,665,,,,,,92651,LAGUNA BEACH,California,-117.79508403,33.54557536,665 CLIFF DR    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
327193,32073568.0,SORRENTO,34,,,,,,92614,IRVINE,California,-117.82304592,33.67653097,34 SORRENTO    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
415397,32241590.0,ALDERBERRY,6,,,,,,92604,IRVINE,California,-117.79493478,33.67816654,6 ALDERBERRY    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
60576,66026181.0,SPYGLASS PL,910,,,,,,92870,PLACENTIA,California,-117.85116057,33.87301958,910 SPYGLASS PL    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
712196,38018471.0,MYSTIC WAY,549,,,,,,92651,LAGUNA BEACH,California,-117.77697943,33.54448356,549 MYSTIC WAY    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
109134,74242082.0,S CRODDY WAY,2737,,A,,STE,,92704,SANTA ANA,California,-117.92156584,33.71031442,2737 S CRODDY WAY  STE  A,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
984874,12055032.0,S FRONTIER CT,684,,,,,,92807,ANAHEIM,California,-117.78856915,33.83893972,684 S FRONTIER CT    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
73126,74126738.0,N OLD GRAND ST,2626,,,,,,92705,SANTA ANA,California,-117.84985014,33.772724,2626 N OLD GRAND ST    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
773596,52046955.0,BAYBERRY,22491,,,,,,92692,MISSION VIEJO,California,-117.63403939,33.63560376,22491 BAYBERRY    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
115157,58093844.0,KENDRA LOOP,8519,,,,,,92867,ORANGE,California,-117.76200846,33.82875013,8519 KENDRA LOOP    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
317845,92751206.0,CALLE DE LA PLATA,24012,,150,,,,92653,LAGUNA HILLS,California,-117.71138537,33.60971515,24012 CALLE DE LA PLATA    150,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
288492,18030588.0,PRESIDIO DR,813,,,,,,92626,COSTA MESA,California,-117.89118836,33.67203492,813 PRESIDIO DR    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
860594,46027968.0,SHADY GROVE CIR,22675,,,,,,92630,LAKE FOREST,California,-117.69719712,33.63394654,22675 SHADY GROVE CIR    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
851095,46024725.0,CRIPPLE CRK,22252,,,,,,92630,LAKE FOREST,California,-117.66699547,33.63938629,22252 CRIPPLE CRK    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
110985,80021924.0,RAINTREE RD,14371,,,,,,92780,TUSTIN,California,-117.80920865,33.7212297,14371 RAINTREE RD    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
929399,70035696.0,LOMA ADRIA,705,,,,,,92672,SAN CLEMENTE,California,-117.59075387,33.44390405,705 LOMA ADRIA    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
677571,91319442.0,LAMPSON AVE,7700,,126,,UNIT,1169080.0,92841,STANTON,California,-117.9971961,33.77897161,7700 LAMPSON AVE  UNIT  126,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
1003290,16029599.0,HANCOCK WAY,6387,,,,,,90620,BUENA PARK,California,-118.0215696,33.85310027,6387 HANCOCK WAY    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
813674,92846502.0,CROWN VALLEY PKWY,27741,,309,,,,92691,MISSION VIEJO,California,-117.6713048,33.56055351,27741 CROWN VALLEY PKWY    309,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
68644,91544041.0,E CHAPMAN AVE,201,,42B,4,UNIT,,92870,PLACENTIA,California,-117.86743507,33.87269055,201 E CHAPMAN AVE  UNIT 4 42B,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
42979,92727152.0,MAIN ST,7032,,18,,,,92683,WESTMINSTER,California,-118.00646193,33.75444103,7032 MAIN ST    18,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
195288,74092530.0,S SPRUCE ST,1306,,,,,,92704,SANTA ANA,California,-117.88906326,33.73049081,1306 S SPRUCE ST    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
693574,92915530.0,CHATEAU CT,849,,,,,1190229.0,92841,STANTON,California,-117.98922294,33.78031853,849 CHATEAU CT    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
809866,52059724.0,VIRGINIA,27982,,,,,,92692,MISSION VIEJO,California,-117.64233213,33.65168008,27982 VIRGINIA    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
939289,90167549.0,E IMPERIAL HWY,920,,,,,,92821,BREA,California,-117.89128151,33.91285457,920 E IMPERIAL HWY    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
1145576,76009848.0,OPAL COVE WAY,424,,,,,,90740,SEAL BEACH,California,-118.0972222,33.74328049,424 OPAL COVE WAY    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
621697,92734101.0,KELVIN AVE,2790,,1207,1,UNIT,,92614,IRVINE,California,-117.83784087,33.68365966,2790 KELVIN AVE  UNIT 1 1207,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
1132560,26031756.0,NOUTARY DR,1338,,,,,,92833,FULLERTON,California,-117.96293743,33.88509903,1338 NOUTARY DR    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
578965,54001656.0,WINDWARD LN,2200,,,,,,92660,NEWPORT BEACH,California,-117.89599449,33.6415822,2200 WINDWARD LN    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
463213,86040280.0,HIDDEN OAKS DR,4245,,,,,,92886,YORBA LINDA,California,-117.80181581,33.8991442,4245 HIDDEN OAKS DR    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
676779,30006690.0,ALSUNA LN,1815,,,,,,92648,HUNTINGTON BEACH,California,-117.99200508,33.67371643,1815 ALSUNA LN    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
252597,92832324.0,W 5TH ST,3200,,305,,APT,1154271.0,92703,SANTA ANA,California,-117.91233112,33.74754266,3200 W 5TH ST  APT  305,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
1089681,26002426.0,N EUCLID ST,2051,,E,,STE,,92835,FULLERTON,California,-117.94461232,33.89415119,2051 N EUCLID ST  STE  E,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
205150,74297529.0,N FAIRVIEW ST,1940,,2,,APT,,92706,SANTA ANA,California,-117.90324305,33.76362431,1940 N FAIRVIEW ST  APT  2,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
1019340,12014893.0,W ORANGE AVE,3354,,,,,,92804,ANAHEIM,California,-118.00791352,33.82443044,3354 W ORANGE AVE    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
181834,92809959.0,N PARK CENTER DR,722,,102,,APT,1078061.0,92705,SANTA ANA,California,-117.8386676,33.75131547,722 N PARK CENTER DR  APT  102,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
532594,54045530.0,SANTA ISABEL AVE,379,,,,,,92660,NEWPORT BEACH,California,-117.89347423,33.65075617,379 SANTA ISABEL AVE    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
506139,92881514.0,SPECTRUM CENTER DR,670,,,,,1182347.0,92618,IRVINE,California,-117.74399453,33.65161521,670 SPECTRUM CENTER DR    ,,,ARCGISADMIN,2024/09/03 13:46:03+00,ARCGISADMIN,2024/09/03 13:46:03+00,Orange County,CA,
